currency,1d_market_cap_change_pct,1d_price_change_pct,1d_volume_change_pct,30d_market_cap_change_pct,30d_price_change_pct,30d_volume_change_pct,365d_market_cap_change_pct,365d_price_change_pct,365d_volume_change_pct,ytd_market_cap_change_pct,ytd_price_change_pct,ytd_volume_change_pct,max_supply,num_exchanges,num_pairs
XMR,-0.0756,-0.0756,0.1316,-0.1496,-0.1508,-0.1650,0.6705,0.6460,1.9985,0.6314,0.6098,1.2524,-,127,507
XTZ,-0.0950,-0.0951,0.5883,-0.2874,-0.2901,-0.3900,1.2441,0.9432,1.4874,1.4379,1.1195,1.4020,-,108,322
GRT,-0.0930,-0.0930,0.4967,-0.2433,-0.2433,0.0631,-,11.4501,-,9.8514,1.6831,6.7706,10000000000,108,243
GALA,-0.0414,-0.0414,0.2769,4.6960,4.6960,11.5488,1731.3145,1699.7810,9786.0282,429.3926,429.5767,8178.4476,36241462164,38,76
KLAY,-0.0660,-0.0734,0.3625,-0.1290,-0.1397,-0.0914,-,2.1182,11.7563,-,2.0438,10.5169,-,36,65
EOS,-0.0669,-0.0670,0.8217,-0.1850,-0.1878,-0.2112,0.2696,0.2333,0.4341,0.3608,0.3240,0.4392,-,212,1567
FLOW,-,-,-,-,-,-,-0.6456,-0.6431,108176.6589,-0.6426,-0.6431,108176.6589,34227271,3,5
HNT,-,-,-,-,0.0482,-0.6616,-,-0.2762,0.4369,-,-0.2762,0.7280,1000000000,2,4
LEO,-0.0712,-0.0711,0.0329,0.0000,0.0024,0.0539,1.3462,1.4283,1.1118,1.2839,1.3589,1.0121,985239504,29,80
STX,-0.0392,-0.0404,0.4196,0.1585,0.1554,1.7550,0.6894,0.7253,7.1927,0.3615,0.3872,4.1450,53913604,10,15
CAKE,-0.0644,-0.0658,-0.8905,-0.3274,-0.3492,1.1954,95.1818,24.9860,496.2059,54.3584,18.4150,369.0179,545271596,73,1449
LRC,-0.1228,-0.1228,0.4234,1.0026,1.0026,2.8900,11.4189,10.8459,14.9195,7.0210,7.0251,13.2396,1373873440,111,460
AAVE,-0.0992,-0.0993,0.1854,-0.3416,-0.3493,-0.2779,1.7702,1.4667,552997720910.9108,1.5793,1.3163,294307281978.6933,16000000,131,661
BTT,-0.0559,-0.0559,-0.1018,-0.2426,-0.2426,-0.3535,7.6715,7.6715,95.9143,8.3681,8.3681,93.7961,57746762,20,37
KSM,-0.0900,-0.0900,0.5715,-0.2486,-0.2486,-0.2564,5.3290,5.3290,17.7164,3.5964,3.5964,12.9743,10000000,64,123
